Stock,B,S,G,BB,BS,BG
TAR,111.0,86.0,25.0,0.0,0.0,0.0
TCB,2851.0,2773.0,78.0,60.0,38.0,22.0
TCH,887.0,1073.0,-186.0,0.0,3.0,-3.0
TCL,66.0,60.0,6.0,0.0,0.0,0.0
TCM,109.0,44.0,65.0,1.0,2.0,-1.0
TDC,203.0,211.0,-8.0,0.0,0.0,0.0
TDG,211.0,143.0,68.0,0.0,0.0,0.0
TDH,177.0,138.0,39.0,0.0,0.0,0.0
TDM,61.0,56.0,5.0,0.0,0.0,0.0
TDN,77.0,41.0,36.0,0.0,0.0,0.0
TDT,59.0,125.0,-66.0,0.0,0.0,0.0
TEG,54.0,12.0,42.0,0.0,0.0,0.0
TGG,89.0,184.0,-95.0,0.0,0.0,0.0
TID,44.0,23.0,21.0,0.0,0.0,0.0
TIG,239.0,195.0,44.0,0.0,1.0,-1.0
TIP,40.0,34.0,6.0,0.0,0.0,0.0
TLD,139.0,117.0,22.0,0.0,0.0,0.0
TLG,36.0,90.0,-54.0,0.0,0.0,0.0
TLH,663.0,413.0,250.0,0.0,0.0,0.0
TNA,24.0,25.0,-1.0,0.0,0.0,0.0
TNG,522.0,459.0,63.0,2.0,3.0,-1.0
TNI,268.0,292.0,-24.0,0.0,0.0,0.0
TNT,93.0,67.0,26.0,0.0,0.0,0.0
TPB,1201.0,795.0,406.0,13.0,7.0,6.0
TSC,1477.0,1025.0,452.0,4.0,5.0,-1.0
TTB,75.0,99.0,-24.0,0.0,0.0,0.0
TTF,422.0,573.0,-151.0,0.0,0.0,0.0
TTH,155.0,50.0,105.0,0.0,0.0,0.0
TV2,138.0,57.0,81.0,0.0,0.0,0.0
TVB,493.0,234.0,259.0,1.0,2.0,-1.0
TVC,452.0,314.0,138.0,1.0,1.0,0.0
TVD,45.0,15.0,30.0,0.0,0.0,0.0
TVN,389.0,316.0,73.0,0.0,0.0,0.0
TVS,76.0,101.0,-25.0,0.0,0.0,0.0
VC3,42.0,40.0,2.0,0.0,0.0,0.0
VCB,755.0,1154.0,-399.0,10.0,24.0,-14.0
VCG,159.0,74.0,85.0,0.0,0.0,0.0
VCI,565.0,592.0,-27.0,14.0,16.0,-2.0
VCP,2.0,2.0,0.0,0.0,0.0,0.0
VCR,26.0,34.0,-8.0,0.0,0.0,0.0
VCS,123.0,104.0,19.0,1.0,0.0,1.0
VDS,298.0,303.0,-5.0,0.0,0.0,0.0
VEA,78.0,153.0,-75.0,4.0,1.0,3.0
VGC,38.0,143.0,-105.0,0.0,0.0,0.0
VGI,149.0,271.0,-122.0,0.0,1.0,-1.0
VGS,194.0,103.0,91.0,0.0,0.0,0.0
VGT,354.0,482.0,-128.0,0.0,3.0,-3.0
VHC,563.0,431.0,132.0,4.0,3.0,1.0
VHE,60.0,66.0,-6.0,0.0,0.0,0.0
VHG,483.0,307.0,176.0,0.0,0.0,0.0
VHM,854.0,1596.0,-742.0,16.0,30.0,-14.0
VIB,294.0,395.0,-101.0,1.0,3.0,-2.0
VIC,1217.0,891.0,326.0,49.0,42.0,7.0
VIG,486.0,266.0,220.0,0.0,1.0,-1.0
VIP,103.0,126.0,-23.0,0.0,0.0,0.0
VJC,208.0,320.0,-112.0,2.0,0.0,2.0
VNA,22.0,40.0,-18.0,0.0,0.0,0.0
VND,1726.0,1540.0,186.0,26.0,37.0,-11.0
VNE,105.0,99.0,6.0,0.0,0.0,0.0
VNG,52.0,29.0,23.0,0.0,0.0,0.0
VNH,229.0,124.0,105.0,0.0,0.0,0.0
VNM,1022.0,1715.0,-693.0,24.0,39.0,-15.0
VNP,72.0,44.0,28.0,0.0,0.0,0.0
VNR,21.0,23.0,-2.0,0.0,0.0,0.0
VOC,86.0,113.0,-27.0,0.0,0.0,0.0
VOS,372.0,292.0,80.0,0.0,0.0,0.0
VPB,2847.0,2730.0,117.0,670.0,442.0,228.0
VPG,192.0,127.0,65.0,7.0,1.0,6.0
VPH,39.0,48.0,-9.0,0.0,0.0,0.0
VPI,71.0,24.0,47.0,8.0,2.0,6.0
VRC,46.0,93.0,-47.0,0.0,0.0,0.0
VRE,5672.0,1655.0,4017.0,16.0,9.0,7.0
VRG,11.0,6.0,5.0,0.0,0.0,0.0
VSC,59.0,30.0,29.0,0.0,0.0,0.0
VSH,9.0,23.0,-14.0,0.0,0.0,0.0
VTD,65.0,48.0,17.0,0.0,0.0,0.0
VTO,64.0,58.0,6.0,0.0,0.0,0.0
VTP,513.0,244.0,269.0,3.0,1.0,2.0
VTR,73.0,40.0,33.0,0.0,0.0,0.0
WSS,90.0,112.0,-22.0,0.0,0.0,0.0
